id_proceso,nombre,tipo,categoria,descripcion,actores,trigger,resultado,evidencia_ruta,estado,notas
PROC-001,Publicación de eventos al bus,tecnico,middleware,Recibir eventos vía HTTP o facade Laravel validar sobre y registrar tránsito en cola/métricas,Integrador API;Operador bus,POST /api/middleware/events/publish o Event::dispatch,Evento en cola PENDING/PROCESADO y despacho a listeners según eventbus.php,app/Middleware/Application/Services/EventPublisherService.php;app/Shared/Api/Routes/MiddlewareApiRoutes.php,implementado,Evidencia código y docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Control_Middleware.md §6
PROC-002,Sincronización catálogo declarativo al registry,tecnico,middleware,Sincronizar eventbus.php y modules_config.json hacia persistencia registered_modules,Operador middleware,POST /api/middleware/registry/sync-config,Registry actualizado y topología coherente,app/Middleware/Application/UseCases/SyncConfiguredModulesToRegistryUseCase.php;docs/production/Plan_de_implementacion.md §2.1,implementado,Marcado Cumple [ACTUALIZADO] en Plan_de_implementacion.md §1.1
PROC-003,Consulta operativa del bus,tecnico,middleware,Exponer métricas cola topología estado búsqueda por event_id y dead letters,Operador;Integrador API,GET endpoints bajo /api/middleware/*,Respuesta JSON operativa,app/Shared/Api/Routes/MiddlewareApiRoutes.php;app/Middleware/Interfaces/Http/Controllers/,implementado,Rutas con abilities bus:read y bus:admin
PROC-004,Observabilidad dashboard,tecnico,dashboard,Proyectar eventos observados a feed KPIs series nodos y topología declarativa,Operador cliente,Acceso /dashboard o APIs /api/dashboard/*,Vista observabilidad en UI y APIs,app/Dashboard/Listeners/UniversalDashboardFeedListener.php;docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Dashboard_General.md §6,implementado,Objetivos O1-O5 documentados en plan módulo dashboard
PROC-005,Autenticación operadores web,tecnico,autenticacion,Login sesión web para operadores plataforma y portal instancia,Operador SaaS;Operador tenant,GET/POST /login,routes/web.php y routes/control.php con middleware auth,Operador autenticado con rol y abilities,app/Http/Controllers/Auth/LoginController.php;config/platform_auth.php;config/platform_roles.php,implementado,ADR-002 difiere OAuth2/SSO a Fase 3
PROC-006,Autenticación API integradores,tecnico,autenticacion,Autenticación Sanctum tokens y abilities en rutas API,Integrador M2M,Request con Bearer token,Acceso API según abilities,app/Http/Middleware/AuthenticatePlatformApi.php;app/Shared/Identity/Policies/,implementado,docs/production/Flujo_M2M_Integradores.md
PROC-007,Gestión empresas control plane,negocio,provisioning,CRUD empresas planes módulos operadores suspensión activación,Admin SaaS,Portal /control/companies,Estado tenant y configuración comercial actualizada,app/Control/Application/Services/TenantAdminService.php;routes/control.php,implementado,Rutas control.companies.* en routes/control.php
PROC-008,Provisioning nueva instancia cliente,negocio,provisioning,Alta de empresa y aprovisionamiento desde portal control,Admin SaaS,POST /control/provisioning,Instancia/tenant preparado según flujo control,app/Http/Controllers/Control/ProvisioningController.php;docs/production/Runbook_Onboarding_Cliente.md,implementado parcial,Runbook y ADR-001 instancia por cliente
PROC-009,Simulación cliente end-to-end,tecnico,simulacion,Validar catálogo sync registry publicar eventos de prueba,Operador;CI,php artisan platform:simulate-client,Reporte simulación y tráfico observable,app/Console/Commands/SimulateClientCommand.php;docs/production/Runbook_Simulacion_Cliente.md,implementado,Cumple [ACTUALIZADO] Plan_de_implementacion.md §1.1
PROC-010,Onboarding instancia por cliente,negocio,onboarding,Asegurar fila tenant de instancia y contexto runtime por despliegue,Ops;Seeder,platform:ensure-instance-tenant o db:seed,Tenant row y tenant_id en repositorios,app/Console/Commands/EnsureInstanceTenantCommand.php;docs/production/ADR_001_instancia_por_cliente.md,implementado,ADR-001 estado Aceptado
PROC-011,Ingress webhooks integraciones,tecnico,integraciones,Recibir webhooks externos validar firma transformar y publicar al bus,Canal externo,POST webhook ingress,Evento publicado en bus,app/Integration/Application/UseCases/ReceiveWebhookUseCase.php;docs/production/Plan_Integraciones.md,implementado parcial,Esquema BD webhooks existe; cobertura tests WebhookIngressTest
PROC-012,Gestión canales e integraciones,tecnico,integraciones,CRUD canales integraciones credenciales y conectores outbound,Admin integraciones,API /api/integrations/*,Configuración integración persistida,app/Integration/Interfaces/Http/Controllers/;docs/production/Plan_Integraciones.md,implementado,IntegrationAdminApiTest en tests
PROC-013,Monitoreo y alertas plataforma,tecnico,observabilidad,Evaluación periódica alertas canary publish y métricas Prometheus,Scheduler;Ops,platform:monitoring-evaluate;GET /metrics,Alertas evaluadas y métricas expuestas,app/Monitoring/Interfaces/Commands/;app/Observability/Application/Services/PrometheusMetricsExporter.php;routes/console.php,implementado,Schedule en routes/console.php
PROC-014,Retención y purga datos operativos,tecnico,ops,Purgar filas antiguas message_queue event_logs observability_metrics trace_logs event_store audit_logs,Scheduler,platform:purge-retention diario,Datos antiguos eliminados según config,app/Console/Commands/PurgePlatformRetentionCommand.php;config/platform_retention.php,implementado,Comando registrado en routes/console.php
PROC-015,Gestión incidentes soporte cliente,negocio,soporte,Reporte y respuesta de incidentes desde portal cliente,Operador cliente;Soporte SaaS,/support/reports y /control/incidents,Incidente registrado y gestionado,app/Control/Application/Services/ClientIncidentReportService.php;database/migrations/2026_05_27_120000_create_client_incident_reports_table.php,implementado,Tabla client_incident_reports
PROC-016,Validación catálogo CI,tecnico,calidad,Validar alineación modules_config.json vs eventbus subscriptions,CI;Desarrollador,php artisan platform:validate-catalog,Fallo o éxito validación,app/Console/Commands/ValidatePlatformCatalogCommand.php;composer.json scripts ci,implementado,B.3 implementado según composer.json y comando existente
PROC-017,Flujo middleware documentado 5 etapas,documental,middleware,Pipeline conceptual ingesta procesamiento enrutamiento distribución consumo,Arquitectura,Sistemas fuente ERP/POS/e-commerce,Eventos en servicios dominio,docs/Plan_Desarrollo_Servicio_v0.1/Flujo_Middleware.md,documentado no implementado completo,Plan_Middleware.md §3 problema #5: doc 5 etapas vs implementación 2 etapas
PROC-018,Multi-tenancy lógico Fase 3,documental,multi-tenancy,Separación lógica multi-tenant en una instancia,Arquitectura,Decisión negocio,PENDIENTE_VALIDACION,docs/production/ADR_001_instancia_por_cliente.md §Fase 3,diferido,ADR-001 Fase 3 no implementada; modo actual instance_per_client en config/platform.php
PROC-019,Portal instancia cliente web,negocio,multi-tenancy,Acceso web instancia con binding autenticado y estado operacional tenant,Operador tenant,Middleware instance.web instance.portal,Dashboard y middleware visibles por instancia,routes/web.php;app/Http/Middleware/EnsureInstancePortalAccess.php,implementado,Middleware stack en routes/web.php
PROC-020,Ejecución simulación desde control plane,tecnico,simulacion,Orquestar runs de simulación por tenant desde CP,Admin SaaS,/control/simulations y POST companies/simulation,Simulation run con reporte,database/migrations/2026_05_28_100000_create_simulation_runs_table.php;app/Control/Application/Services/SimulationRunOrchestrator.php,implementado,Tabla simulation_runs y rutas control.simulations.*
