id_requerimiento,tipo,categoria,descripcion,prioridad,fuente,estado_implementacion,evidencia_ruta,notas
REQ-C1,RF,funcional,Recibir eventos desde productores HTTP jobs o Event facade,alta,Plan_Modulo_Control_Middleware.md,implementado,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Control_Middleware.md §3 C1,app/Middleware/Application/Services/EventPublisherService.php
REQ-C2,RF,funcional,Registrar tránsito en almacenamiento operativo cola métricas DLQ,alta,Plan_Modulo_Control_Middleware.md,implementado,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Control_Middleware.md §3 C2,database/migrations/2026_05_01_040001_create_bus_queue_entries_table.php
REQ-C3,RF,funcional,Exponer consultas cola topología estado bus búsqueda event_id,alta,Plan_Modulo_Control_Middleware.md,implementado,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Control_Middleware.md §3 C3,app/Shared/Api/Routes/MiddlewareApiRoutes.php
REQ-C4,RF,funcional,Mantener registro declarativo suscripciones eventbus fusionado por packs,alta,Plan_Modulo_Control_Middleware.md,implementado parcial,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Control_Middleware.md §3 C4,app/Providers/EventBusIntegrationServiceProvider.php
REQ-C5,RF,funcional,Observar tráfico wildcard a nivel plataforma,alta,Plan_Modulo_Control_Middleware.md,implementado,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Control_Middleware.md §3 C5,app/Dashboard/Listeners/UniversalDashboardFeedListener.php
REQ-O1,RF,funcional,Mostrar feed eventos observados con event_id,alta,Plan_Modulo_Dashboard_General.md,implementado,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Dashboard_General.md §3 O1,app/Dashboard/Application/UseCases/GetRecentEventFeedUseCase.php
REQ-O2,RF,funcional,Mostrar KPIs y gráficos desde dashboard_config.json,alta,Plan_Modulo_Dashboard_General.md,implementado,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Dashboard_General.md §3 O2,config/dashboard_config.json
REQ-O3,RF,funcional,Exponer métricas bus latencia EPS cola estado,alta,Plan_Modulo_Dashboard_General.md,implementado,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Dashboard_General.md §3 O3,app/Dashboard/Application/UseCases/GetMiddlewareBusMetricsUseCase.php
REQ-O4,RF,funcional,Representar topología desde modules_config.json y datos observados,alta,Plan_Modulo_Dashboard_General.md,implementado parcial,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Dashboard_General.md §3 O4,docs/production/Plan_de_implementacion.md §1.1 topología observada parcial
REQ-O5,RF,funcional,Stream SSE opcional feed en vivo,media,Plan_Modulo_Dashboard_General.md,PENDIENTE_VALIDACION,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Dashboard_General.md §3 O5,StreamLiveEventsUseCase referenciado en plan; verificar implementación UI
REQ-RST-01,restriccion,arquitectura,Core middleware no debe embebir reglas de negocio vertical,alta,Plan_Modulo_Control_Middleware.md §8,implementado,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Control_Middleware.md §8 Restricciones,composer.json description confirma no business domains
REQ-RST-02,restriccion,arquitectura,No mutar payload por tipo evento conocido en core,alta,Plan_Modulo_Control_Middleware.md §8,implementado,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Control_Middleware.md §8,
REQ-RST-03,restriccion,arquitectura,Dashboard prohibido acceso esquemas negocio verticales externos,alta,Plan_Modulo_Dashboard_General.md §9,implementado,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Dashboard_General.md §9 Prohibido,
REQ-RST-04,restriccion,producto,Middleware y Dashboard se entregan juntos en oferta estándar,media,Plan_Desarrollo_Modulos README,implementado,docs/Plan_Desarrollo_Modulos_v0.1/README.md §1,
REQ-ADR001,decision_arquitectura,multi-tenancy,Adoptar instancia por cliente app+BD+config dedicados,alta,ADR-001,implementado,docs/production/ADR_001_instancia_por_cliente.md,config/platform.php PLATFORM_DEPLOYMENT_MODE
REQ-ADR002,decision_arquitectura,autenticacion,Diferir Passport OAuth2 IdP hasta requisito enterprise,media,ADR-002,diferido,docs/production/ADR_002_autenticacion_enterprise.md,Estado Propuesto
REQ-ADR003,decision_arquitectura,usuarios,Diferir SSO LDAP roles custom hasta requisito enterprise,media,ADR-003,diferido,docs/production/ADR_003_usuarios_enterprise.md,Estado Propuesto
REQ-ADR004,decision_arquitectura,tenancy,Poblar tenant_id vía seeder en instance-per-client,alta,ADR-004,implementado,docs/production/ADR_004_tenant_id_activation.md,
REQ-ADR005,decision_arquitectura,datos,No particionar event_store en Laravel aún,media,ADR-005,diferido,docs/production/ADR_005_event_store_partitioning.md,Estado Propuesto POC
REQ-ADR006,decision_arquitectura,resiliencia,Diferir sagas compensación hasta flujos multi-paso,media,ADR-006,diferido,docs/production/ADR_006_saga_transactions.md,Estado Propuesto
REQ-ADR007,decision_arquitectura,workflow,Orquestación mínima in-process defer Temporal/Camunda,media,ADR-007,implementado parcial,docs/production/ADR_007_workflow_orchestration.md,database/migrations workflows processing_jobs existen
REQ-ADR008,decision_arquitectura,logs,Patrón stdout JSON sidecar shipping sin SDK ELK embebido,alta,ADR-008,implementado,docs/production/ADR_008_cloud_log_shipping.md,app/Shared/Logging/PlatformStructuredLogger.php
REQ-ADR009,decision_arquitectura,observabilidad,Tracing ligero trace_logs+correlation defer OTel SDK completo,alta,ADR-009,implementado parcial,docs/production/ADR_009_opentelemetry_distributed_tracing.md,app/Http/Middleware/CorrelationIdMiddleware.php
REQ-SEC-01,RNF,seguridad,Auth en todas rutas API,alta,Plan_Seguridad.md,implementado,docs/production/Plan_Seguridad.md,middleware auth.platform en rutas API
REQ-SEC-02,RNF,seguridad,Rate limiting APIs,alta,Plan_Seguridad.md,implementado,docs/production/Plan_Seguridad.md,config/security.php throttle platform-api
REQ-SEC-03,RNF,seguridad,Headers seguridad y CORS,alta,Plan_Seguridad.md,PENDIENTE_VALIDACION,docs/production/Plan_Seguridad.md,app/Http/Middleware/SecurityHeadersMiddleware.php existe en git status no verificado en HEAD
REQ-API-01,RNF,apis,OpenAPI y versionado /api/v1/,alta,Plan_APIs.md,implementado,docs/production/Plan_APIs.md,docs/api/openapi.yaml;app/Shared/Api/Interfaces/Providers/ApiServiceProvider.php
REQ-API-02,RNF,apis,Idempotency-Key en publish,media,Plan_APIs.md,PENDIENTE_VALIDACION,docs/production/Plan_APIs.md,config/platform_api.php menciona idempotency
REQ-QA-01,RNF,calidad,Cobertura tests ≥70%,media,Plan_Calidad.md,PENDIENTE_VALIDACION,docs/production/Plan_Calidad.md,scripts/ci/check-application-coverage.php existe
REQ-OPS-01,RNF,ops,Retención y purge automatizado tablas operativas,media,Plan_Resiliencia.md,implementado,docs/production/Plan_Resiliencia.md,app/Console/Commands/PurgePlatformRetentionCommand.php
REQ-INT-01,RF,integraciones,CRUD canales integraciones webhooks HMAC credenciales cifradas,alta,Plan_Integraciones.md,implementado parcial,docs/production/Plan_Integraciones.md,tests/Feature/Integration/IntegrationAdminApiTest.php
REQ-DYN-01,RF,configuracion,Configuración dinámica productor/consumidor sin redeploy,alta,Plan_de_implementacion.md,no cumple,docs/production/Plan_de_implementacion.md §1.1,Estado explícito No cumple
REQ-VAL-01,RF,calidad,Comando platform:validate-catalog falla CI si declarado≠suscrito,alta,Plan_de_implementacion.md B.3,implementado,docs/production/Plan_de_implementacion.md §6,app/Console/Commands/ValidatePlatformCatalogCommand.php
REQ-FLOW-01,RF,middleware,Pipeline documentado 5 etapas ingesta→consumo,media,Flujo_Middleware.md,documentado parcial,docs/Plan_Desarrollo_Servicio_v0.1/Flujo_Middleware.md,Plan_Middleware.md gap 5 vs 2 etapas implementadas
REQ-MT-01,RNF,multi-tenancy,Multi-tenant lógico Fase 3 tenant resolver RLS,media,ADR-001 Fase 3,diferido,docs/production/ADR_001_instancia_por_cliente.md §Fase 3,
REQ-SIM-01,RF,simulacion,Simulación cliente automatizada fixtures y platform:simulate-client,alta,Plan_de_implementacion.md,implementado,docs/production/Plan_de_implementacion.md §1.1,app/Console/Commands/SimulateClientCommand.php
REQ-CP-01,RF,control_plane,Gestión empresas planes módulos operadores desde /control,alta,código implementado,implementado,routes/control.php,app/Control/Application/Services/TenantAdminService.php
